Lata Mangeshkar,1.Mere Khwabon Mein,2.Tujhe Dekha To,3.Mera Dil Ye Pukare - Tu Aaja - Heartlock Mix,4.Tere Liye,5.Dil To Pagal Hai,6.Bholi Si Surat,7.Aankhein Khuli,8.Are Re Are (Part-2),9.Aap Ki Ankhon Mein Kuch,10.Lag Ja Gale Se Phir
L. R. Eswari,1.Kalasala Kalasala,2.Poondamalli,3.Avalukkenna,4.Ukkadathu Papadame,5.Bhale Bhale Mogaadivoy,6.Naan Manthoppil,7.Mahamayi Samayapura,8.Aadi Kuththu - From "Mookuthi Amman",9.Ammoru Thalliki - From "Ammoru Thalli",10.Karunai Ullam Kondavale
Madhushree,1.Mallipoo,2.Siragugal,3.Marudaani,4.Kalallo (From "Virupaksha"),5.Eppo Nee,6.Vaaji Vaaji,7.Nanbane,8.Un Pere Theriyadhu,9.Mahabali Maharudra,10.Tu Bin Bataye
Mahalakshmi Iyer,1.Bol Na Halke Halke,2.Falak Tak,3.Laung Da Lashkara,4.Tainu Leke,5.Manasa,6.Choododhu,7.Kurukku Siruthvalea (From Mudhalvan),8.Kaal Mulaitha Poovae,9.Ae Ajnabi (From "Dil Se"),10.Hey Shona
Mahathi,1.Mudhal Mazhai (From Bheema),2.Ammadi Aathadi,3.Nenje Nenje,4.Thee Illai,5.Neduvaali,6.Unakkenna Venum Sollu,7.Pudichirukku,8.Puyalae Puyalae (From "Kovil"),9.Neekem Kaavaalo Cheppu,10.Paal Pappali
Maitrayee Patar,1.Alakananda,2.Moupiya,3.Gaane Gaane,4.Tair Kotha,5.Unnaxi,6.Baartalaap (Duet),7.Balimahi,8.Bhatiyali Xopun,9.Bhalpuwa,10.Jakoruwa
Malavika,1.Seena Thana,2.Bommali (From "Billa"),3.Nuvvu Nenu,4.Untale Untale Nee Vente Untale,5.Cinema Choopistha Mama,6.Dang Dang - Soundtrack Version,7.Evarulerani,8.Paathukkulle,9.Hylessa,10.Oka Thotalo
Malgudi Subha,1.Mun Paniya (From "Nandhaa"),2.Thanga Thamarai Magalae (From "Minsara Kanavu"),3.Mudinepalli (From "Gentleman"),4.Time To Party,5.Thanni Vachu Poona Vachu,6.Amma Brahma Devudo,7.Thanga Thamarai (From "Minsara Kanavu"),8.Akale - From "Charlie",9.Nila Poongal,10.Suvvi Suvvi Suwala
Malvina Reynolds,1.Little Boxes,2.Little Boxes,3.Little Boxes,4.It Isn't Nice,5.Magic Penny,6.I Don't Mind Failing,7.What Have They Done to the Rain?,8.Love Is Something (The Magic Penny),9.Little Red Hen,10.God Bless the Grass
Mamta Sharma,1.Fevicol Se,2.Yaara,3.Munni Badnaam,4.Aa Re Pritam Pyaare,5.Bombay Ponnu,6.Anarkali Disco Chali,7.Tinku Jiya,8.Mera Dil Bhi Kitna Pagal Hai,9.Full Kick,10.Pinky
Manjari,1.Chimmi Chimmi - From "Urumi",2.Mozhikalum - Duet Version,3.Aattinkarayorathe - From "Rasathanthram",4.Pinakkamano,5.Mazhavillin,6.Bhajan,7.Aalilayum - From "Veeralipattu",8.Aa Oruthi,9.Chimmi Chimmi,10.Ennennum Unarave
Meghan Trainor,1.Made You Look,2.Like I'm Gonna Lose You (feat. John Legend),3.NO,4.All About That Bass,5.Dear Future Husband,6.Better When I'm Dancin',7.Mother,8.Me Too,9.Lips Are Movin,10.Alright
Minmini,1.Inji Idupazhagi (From "Devarmagan"),2.Chhoti Si Aasha - Version, 2,3.Chinna Chinna Asai - Bit (From "Roja"),4.Chhoti Si Aasha - Version, 1,5.Chinna Chinna Aasha (From "Roja"),6.Chinna Chinna Asai (From "Roja"),7.Adi Poonguyiley (From "Aranmanai Kili"),8.Vellithinkal,9.Neelaravil,10.Paathiravaayi Neram
Monali Thakur,1.Sawaar Loon,2.Khudaya Khair,3.Khwab Dekhe Sexy Lady,4.Badri Ki Dulhania (Title Track) [From "Badrinath Ki Dulhania"],5.Moh Moh Ke Dhaage (Female),6.Zara Zara Touch Me,7.Intezaar Tha,8.Anjaana Anjaani Ki Kahani,9.Raat Baaki,10.On Top of the World
Mridula Warrier,1.Mazhaye Toomazhaye,2.Hridayathin,3.Neehaaram - From "Enthada Saji",4.Ee Mizhikalin,5.Madhura Jeeva Ragam,6.Oru Vaakkum,7.Neeye Nenjil (From "Mindiyum Paranjum"),8.Ambazham - From "Ambazham",9.Chenthamara Theno - From "916",10.Oru Mozhi Parayam - From "IRA"
Mubarak Begum,1.Mujhko Apne Gale Laga Lo,2.Kabhi Tanhaiyon Mein,3.Ham Haal-E-Dil Sunaenge,4.Jab Ishq Kahin Ho Jata Hai - Various,5.Wada Humse Kiya,6.Itne Qareeb Aake Bhi Kya Jane,7.Neend Ud Jaye Teri,8.Woh Na Aayenge Palat Kar,9.Bemuravat Bewafa,10.Devta Tum Ho Mera Sahara
