Singer Name,Song Name 1,Song Name 2,Song Name 3,Song Name 4,Song Name 5,Song Name 6,Song Name 7,Song Name 8,Song Name 9,Song Name 10
Sadhana Sargam,1.Pehla Nasha,2.Saat Samundar Paar Happy,3.Maahi Ve,4.Manmadhane Nee,5.Aao Naa,"6.Enadhuyire (From ""Bheema"")",7.Akkam Pakkam,"8.Vennilave (From ""Minsara Kanavu"")","9.Merke Merke ( From"" Kanda Naal Mudhalai"")",10.Manasa
Sanchita Bhattacharya,1.Haathi Ka Bal Hai,2.Kambal Ke Neeche,3.Koshampa,4.India Song,5.Jai Jai Krishna,6.Adiye Adiye,7.Ude Ude,8.Aaiye Meherbaan,9.Jokhon Porbe Na Mor Payer Chinho,10.Hathi Cha Bal Aahe
Santha P. Nair,1.Puthanpurakare,2.Thumbi Thumbi Vaa,3.Appam Venam,4.Vaasantha Raavinte,5.Maaney Maaney,6.Poove Nalla Poove,7.Unaru Unaaru,8.Ekantha Kamuka,9.Vattan Vilagngnittum Varinellu,10.Manaththulloru
Saindhavi,1.Pirai Thedum,2.En Jeevan,3.Nesamaguren,"4.Adada Mazhaida (From ""Paiya"")","5.Yaar Indha Saalai Oram (From ""Thalaivaa"")",6.Andangakka,"7.Yaaro Ivan (From ""Udhayam NH4"")",8.Shree Hari Stotram,9.Manasellam Mazhaiye,10.Thanjavoor Jilla Kaari
Sapna Mukherjee,1.Sundara Sundara,2.Mahabali Maharudra,"3.Ooee Baba (From ""Judaai"")",4.Aakhir Tumhein Aana Hai,5.Tere Ishq Mein Naachenge,6.Tirchi Topiwale - 1,"7.Khud Ko Kya Samajhti Hai - From ""Khiladi""",8.Gazar Ne Kiya Hai Ishara,9.Pyaar Ka Anjaam,10.Dil Le Gayi Teri Bindiya
Shakthisree Gopalan,1.Aga Naga,"2.Yaanji - From ""Vikram Vedha""",3.Imaye Imaye,4.Naan Nee,"5.Rendu Kaadhal (From ""Kaathuvaakula Rendu Kaadhal"")",6.Thodu Vaanam,"7.Ninaivirukka (From ""Pathu Thala"")",8.Vaaya Veera,9.Uchimandai,10.Nee Yenadharuginil Nee
Shalmali Kholgade,1.Balam Pichkari,2.Lat Lag Gayee,3.Daaru Desi,4.Besharmi Ki Height,"5.Mere Sawaal Ka (From ""Shehzada"")",6.Pareshaan,"7.Don't Be Shy Again (From ""Bala"")",8.Tera Naam Doon,9.Beqaaboo,10.Baby Ko Bass Pasand Hai
Shamshad Begum,1.Teri Mehfil Mein Kismat Azmakar,2.Leke Pehla Pehla Pyaar - Farooq Got Audio Mix,3.Kajra Mohabbat Wala,4.Kabhi Aar Kabhi Paar - Farooq Got Audio Mix,5.Saiyyan Dil Mein Aana Re,6.Leke Pahla Pahla Pyar - Retro Mix,7.Leke Pahla Pahla Pyar,8.Mere Piya Gaye Rangoon,9.Saiyan Dil Mein Aana Re,10.Leke Pahla Pahla Pyar - Remix
Shankar-Ehsaan-Loy,1.Bol Na Halke Halke,2.Mitwa,3.Kal Ho Naa Ho,4.Sajde,5.Tere Naina,6.Sajdaa,7.Zinda,8.Maahi Ve,9.Kajra Re,10.O Rangrez
Shashaa Tirupati,1.Rait Zara Si,"2.Bodhai Kaname - From ""Oh Manapenne""",3.The Humma Song,"4.Naan Pizhai (From ""Kaathuvaakula Rendu Kaadhal"")",5.Kajra and Uden Jab Jab Mashup,6.Visiri,"7.Mayilaanjiye - From ""Sivappu Manjal Pachai""","8.Oru Manam (From ""Dhruva Natchathiram"")","9.Idhu Dhaan - From ""Sivappu Manjal Pachai""",10.Khulke Jeene Ka
Shazneen Arethna,1.Aasman Ko Chukar,2.Superstar,3.I Hate You - Like I Love You,4.Dil Di Nazar (Remix),5.Hello Beardo,6.Dance Alone,7.Stardom,8.La La Love Song,9.Fucking Beautiful,10.After
Shilpa Rao,"1.Besharam Rang (From ""Pathaan"")","2.Tere Hawaale (From ""Laal Singh Chaddha"")","3.Ghungroo (From ""War"")",4.Khuda Jaane,5.Subhanallah,"6.Bulleya (From ""Ae Dil Hai Mushkil"")","7.Saanjha (From ""Zara Hatke Zara Bachke"")",8.Allah Maaf Kare,9.Roz Roz,10.Subhanallah Lofi Mix
Sharda Sinha,1.Kahe Toh Se Sajna,2.Babul Jo Tum Ne Sikhaya,3.Kahe Toh Se Sajna - Lofi,4.Taar Bijli,5.Pahile Pahil Chhathi Maiya,6.Hardi Hardiya (Haldi),7.Hare Hare Hare Dada (Madwa),8.Purab Disha Se - Lagan Geet,9.Kelwa Ke Paat Par,10.Ho Deenanath
Shibani Kashyap,1.KHUSHNUMA,2.Leke Pehla Pehla Pyar,3.Ho Gayi Hai Mohabbat - Reprise - Shibani Kashyap,4.Buhe Bariyan,5.Lakk Shake,6.Zinda Hoon Main,7.Chura Liya Hai Tumne Jo Dil Ko,8.Mere Mehboob,9.Waqt Ne Kiya Kya Haseen Sitam - Shibani Kashyap,10.Aao Huzoor Tumko
Shreya Ghoshal,1.Pal,2.Saibo,3.Zihaal e Miskin,4.Samjhawan,5.Param Sundari,6.Hasi - Female Version,7.Main Agar Kahoon,8.Rasiya,9.Tujh Mein Rab Dikhta Hai - Ii,10.Munbe Vaa
